epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1335.54,1.33438,1.94509,1.16455,0.56956,0.46391,0.47949,0.3025,1.12503,1.38441,1.03933,0.00333292,0.00333292,0.00333292
2,2739.69,1.11498,1.43519,1.03249,0.74587,0.52705,0.57599,0.38625,0.98261,1.16309,0.99012,0.00633627,0.00633627,0.00633627
3,3981.18,1.05903,1.29434,1.00865,0.75519,0.55626,0.61414,0.41866,0.9266,1.07169,0.96835,0.00900963,0.00900963,0.00900963
4,5181.6,0.99597,1.1851,0.98977,0.67971,0.60944,0.66106,0.46054,0.86881,0.96757,0.94881,0.008515,0.008515,0.008515
5,6343.76,0.93504,1.10141,0.97103,0.70114,0.63103,0.68699,0.48222,0.84176,0.91444,0.93664,0.00802,0.00802,0.00802
6,7500.57,0.90287,1.0535,0.96107,0.71997,0.62847,0.69848,0.49589,0.82272,0.887,0.92919,0.007525,0.007525,0.007525
7,8652.98,0.87917,1.02459,0.95369,0.74461,0.6348,0.71042,0.50635,0.80753,0.86492,0.9234,0.00703,0.00703,0.00703
8,9809.42,0.86031,0.99853,0.94768,0.73819,0.65407,0.72091,0.51595,0.79717,0.84655,0.91958,0.006535,0.006535,0.006535
9,10964.7,0.84445,0.97706,0.94264,0.73966,0.6591,0.72903,0.52362,0.79023,0.8341,0.91696,0.00604,0.00604,0.00604
10,12110,0.83171,0.96215,0.93934,0.74448,0.66534,0.73657,0.53016,0.78309,0.82406,0.91415,0.005545,0.005545,0.005545
11,13214.2,0.84978,0.91443,0.93337,0.76431,0.67334,0.75157,0.54505,0.76758,0.80008,0.90968,0.00505,0.00505,0.00505
12,16087.2,0.83022,0.88657,0.92697,0.76083,0.68931,0.76134,0.55404,0.75862,0.78502,0.907,0.004555,0.004555,0.004555
13,17210,0.81739,0.86909,0.92335,0.76762,0.68942,0.76733,0.55992,0.75261,0.77556,0.90515,0.00406,0.00406,0.00406
14,18333.5,0.80438,0.85204,0.91939,0.76811,0.6939,0.77176,0.56402,0.74819,0.76825,0.90349,0.003565,0.003565,0.003565
15,19481.8,0.7925,0.83567,0.91547,0.76793,0.69839,0.77509,0.56754,0.74431,0.76258,0.90216,0.00307,0.00307,0.00307
16,20610.6,0.78189,0.82037,0.91184,0.77169,0.70104,0.77795,0.57054,0.74127,0.75757,0.90104,0.002575,0.002575,0.002575
17,21695.6,0.77117,0.80671,0.90961,0.77209,0.70769,0.78067,0.57341,0.73845,0.75333,0.90007,0.00208,0.00208,0.00208
18,22785.4,0.76039,0.7935,0.90708,0.77488,0.70972,0.78329,0.57616,0.7358,0.74918,0.89907,0.001585,0.001585,0.001585
19,23873.6,0.75067,0.78175,0.90391,0.77722,0.71004,0.78579,0.57874,0.73355,0.74547,0.89819,0.00109,0.00109,0.00109
20,24962.9,0.74056,0.76951,0.90123,0.78276,0.71017,0.78851,0.58113,0.73177,0.7419,0.89732,0.000595,0.000595,0.000595
